Sl. No.,Path,Agebucket,Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
1,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.856,4.695
2,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.856,
3,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.490,
4,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.490,
5,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.084,
6,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.084,
7,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.718,
8,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.718,
9,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.714,
10,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.714,
11,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.348,
12,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.348,
13,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.942,
14,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.942,
15,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.576,
16,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.576,
17,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,2.815,
18,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,2.815,
19,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,2.449,
20,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,2.449,
21,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,3.043,
22,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,3.043,
23,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,2.677,
24,Path-1,31-35,0.012,0.215,0.000,0.999,0.000,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,2.677,
25,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,1.858,
26,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,1.858,
27,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,1.492,
28,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,1.492,
29,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,2.086,
30,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,2.086,
31,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,1.720,
32,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,1.720,
33,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,2.716,
34,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,2.716,
35,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,2.350,
36,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,2.350,
37,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,2.944,
38,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,2.944,
39,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,2.578,
40,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,2.578,
41,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,1.817,
42,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,1.817,
43,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.500,0.000,1.451,
44,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.386,0.000,0.000,0.317,0.000,0.500,1.451,
45,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.500,0.000,2.045,
46,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.683,0.000,0.000,0.500,2.045,
47,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.500,0.000,1.679,
48,Path-1,31-35,0.012,0.215,0.000,0.000,0.001,0.000,0.000,0.020,0.000,0.614,0.000,0.317,0.000,0.500,1.679,
49,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.500,0.000,3.426,
50,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.683,0.000,0.000,0.500,3.426,
51,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.060,
52,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.060,
53,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.500,0.000,3.654,
54,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.683,0.000,0.000,0.500,3.654,
55,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.500,0.000,3.288,
56,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.061,0.000,0.000,0.000,0.614,0.000,0.317,0.000,0.500,3.288,
57,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.500,0.000,4.284,
58,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.683,0.000,0.000,0.500,4.284,
59,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.500,0.000,3.918,
60,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.386,0.000,0.000,0.317,0.000,0.500,3.918,
61,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.500,0.000,4.512,
62,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.683,0.000,0.000,0.500,4.512,
63,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.500,0.000,4.146,
64,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.919,0.000,0.000,0.614,0.000,0.317,0.000,0.500,4.146,
65,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.500,0.000,3.385,
66,Path-1,31-35,0.012,0.000,0.785,0.999,0.000,0.000,0.000,0.020,0.386,0.000,0.683,0.000,0.000,0.500,3.385,
